id,channel,date_of_birth,country
891,social_media,1999-01-04,Canada
892,email,2014-09-05,Australia
893,email,2012-03-14,Canada
894,direct,1993-06-09,UK
895,paid_search,1975-01-12,France
896,social_media,1970-03-05,Canada
897,social_media,2013-03-29,UK
898,email,2013-04-01,Germany
899,social_media,1993-01-17,Canada
900,direct,2014-09-29,Canada
901,social_media,1960-12-07,France
902,email,1998-09-25,Germany
903,referral,1980-12-18,UK
904,social_media,1953-10-10,Canada
905,email,1957-02-02,Canada
906,referral,2008-11-06,Canada
907,email,1992-12-24,UK
908,paid_search,1998-04-27,Canada
909,direct,2012-06-16,Canada
910,paid_search,1959-10-20,France
911,email,2002-08-25,UK
912,paid_search,1954-07-22,Australia
913,direct,1970-03-31,Australia
914,paid_search,1954-09-17,USA
915,referral,1979-08-20,Australia
916,referral,1959-01-08,Australia
917,paid_search,1950-06-19,France
918,paid_search,1986-07-04,Australia
919,referral,1992-11-01,Australia
920,paid_search,2017-10-25,Canada
921,social_media,1975-08-10,Australia
922,organic,1958-01-10,Australia
923,direct,1970-11-01,France
924,email,2014-11-16,USA
925,paid_search,1987-06-29,UK
926,organic,1985-08-13,Germany
927,paid_search,2017-03-13,Canada
928,organic,1950-10-31,Canada
929,direct,2004-01-29,USA
930,social_media,1975-07-13,Germany
931,email,1998-09-28,France
932,referral,1962-01-15,France
933,referral,1974-06-24,UK
934,organic,1979-09-01,UK
935,email,1991-03-04,Australia
936,social_media,2014-06-21,UK
937,organic,2016-02-01,Canada
938,social_media,2000-12-09,Australia
939,paid_search,1965-09-29,France
940,email,1986-05-19,Germany
941,direct,1979-06-03,USA
942,referral,2010-01-16,USA
943,paid_search,1962-08-13,Germany
944,social_media,1972-04-03,USA
945,social_media,1984-05-30,UK
946,referral,2017-08-16,Canada
947,social_media,1977-02-02,France
948,email,2001-05-25,USA
949,social_media,2008-08-23,Canada
950,email,1971-03-15,USA
951,email,1960-08-09,Germany
952,social_media,1964-04-30,Germany
953,email,1995-01-31,Australia
954,social_media,2011-12-06,USA
955,email,1976-06-20,Canada
956,direct,1969-10-24,UK
957,paid_search,1992-11-25,UK
958,referral,2017-01-30,France
959,social_media,1987-04-23,Australia
960,direct,1992-03-29,France
961,email,1969-08-05,UK
962,email,2017-09-17,France
963,organic,1997-02-22,Germany
964,direct,2013-02-20,Canada
965,organic,2000-08-12,USA
966,organic,1999-02-18,France
967,paid_search,2001-05-19,France
968,paid_search,1964-10-05,Canada
969,direct,1989-08-22,USA
970,email,1968-06-05,Australia
971,direct,1993-11-08,USA
972,direct,1989-12-19,USA
973,referral,1961-11-02,France
974,referral,1990-12-25,France
975,organic,2000-02-18,Germany
976,email,1977-08-25,Australia
977,organic,1985-07-10,Canada
978,organic,2016-11-28,UK
979,direct,1956-07-21,USA
980,referral,1980-11-28,Australia
981,organic,1998-07-20,USA
982,organic,1992-05-08,USA
983,social_media,1986-09-06,UK
984,paid_search,2007-07-22,Australia
985,email,1987-09-18,Canada
986,referral,1990-03-29,Germany
987,referral,1957-03-14,Australia
988,email,1998-05-20,UK
989,email,1981-03-14,USA
990,paid_search,1998-03-14,Germany
991,direct,1961-06-04,Australia
992,paid_search,1950-04-24,USA
993,social_media,1991-07-16,Australia
994,email,1998-11-05,Germany
995,direct,1984-01-11,UK
996,paid_search,1991-04-29,Canada
997,paid_search,1974-09-24,UK
998,email,1960-02-15,USA
999,email,1987-08-12,France
1000,organic,1971-08-05,UK
1001,organic,1959-01-20,France
1002,organic,1990-01-19,France
1003,email,2013-02-04,USA
1004,paid_search,2016-06-09,USA
1005,referral,1989-05-19,UK
1006,direct,1969-06-29,USA
1007,paid_search,1995-03-17,Canada
1008,paid_search,2015-08-18,France
1009,social_media,2001-10-22,France
1010,email,1978-10-08,UK
1011,social_media,1962-11-08,Australia
1012,direct,1969-10-31,Germany
1013,social_media,1974-09-08,USA
1014,direct,2003-01-30,Australia
1015,paid_search,2006-02-28,Australia
1016,referral,1999-11-14,Germany
1017,organic,1980-11-24,Australia
1018,email,1984-03-12,France
1019,social_media,2012-06-20,Germany
1020,referral,1963-05-22,Canada
1021,referral,1966-07-01,France
1022,referral,1971-08-15,UK
1023,social_media,2013-06-24,UK
1024,referral,1955-03-04,France
1025,referral,1987-05-15,France
1026,direct,1962-01-11,Germany
1027,paid_search,1972-11-16,UK
1028,social_media,2008-01-08,USA
1029,referral,1983-04-17,USA
1030,direct,2015-01-03,UK
1031,organic,1974-01-31,Germany
1032,email,2004-04-10,France
1033,organic,1956-07-12,UK
1034,direct,2014-12-25,Australia
1035,direct,1969-06-21,Germany
1036,paid_search,1979-11-15,Canada
1037,organic,1969-01-01,UK
1038,email,1960-07-11,Australia
1039,referral,1971-10-07,Australia
1040,direct,2013-02-20,UK
1041,referral,1971-06-22,France
1042,social_media,1975-05-25,Germany
1043,referral,1997-11-16,Australia
1044,social_media,1977-09-02,Canada
1045,social_media,1996-01-03,Germany
1046,referral,1958-11-06,Australia
1047,referral,2018-05-01,Canada
1048,paid_search,1983-04-05,Canada
1049,referral,1954-02-07,France
1050,paid_search,2016-07-02,UK
1051,organic,1973-05-25,France
1052,direct,2001-12-16,Australia
1053,referral,1976-06-25,UK
1054,paid_search,1979-08-06,UK
1055,referral,2001-02-12,UK
1056,referral,1999-05-27,Australia
1057,email,1980-04-14,Canada
1058,referral,2014-11-30,Australia
1059,email,1994-01-05,Germany
1060,paid_search,2015-09-28,Canada
1061,paid_search,1962-07-23,Australia
1062,direct,1993-10-23,UK
1063,direct,2007-07-31,USA
1064,direct,1953-01-13,USA
1065,email,1954-05-09,USA
1066,referral,1962-05-03,Australia
1067,paid_search,1956-02-06,Australia
1068,paid_search,1950-10-27,UK
1069,direct,1990-11-29,Canada
1070,organic,2005-06-06,Australia
1071,email,2005-04-24,Germany
1072,email,1993-10-08,USA
1073,organic,1997-09-30,France
1074,referral,1951-01-24,USA
1075,direct,2014-10-16,Canada
1076,direct,1975-09-21,USA
1077,direct,2012-08-10,Australia
1078,referral,1966-01-31,USA
1079,organic,1997-01-17,UK
1080,paid_search,1967-03-22,France
1081,direct,1972-08-24,Canada
1082,social_media,1985-08-10,USA
1083,social_media,1986-06-05,Germany
1084,direct,1971-10-27,Australia
1085,paid_search,1976-11-29,Australia
1086,organic,2008-08-25,Australia
1087,organic,1958-05-22,Germany
1088,referral,1983-11-03,France
1089,referral,1955-01-13,Australia
1090,organic,2013-01-20,UK
1091,organic,1994-11-05,Germany
1092,email,1979-09-21,France
1093,organic,1997-05-20,USA
1094,paid_search,1968-12-19,Australia
1095,direct,1992-08-29,Canada
1096,organic,1956-09-02,Australia
1097,social_media,1998-09-20,France
1098,email,1952-12-14,UK
1099,social_media,1951-05-29,UK
1100,direct,1962-12-08,Australia
1101,referral,1956-11-26,Canada
1102,paid_search,2000-08-05,UK
1103,direct,1984-11-29,Australia
1104,direct,1979-10-06,Germany
1105,email,1962-07-22,Australia
1106,email,1957-01-13,France
1107,email,1981-01-11,USA
1108,organic,1989-03-19,UK
1109,organic,1980-07-22,France
1110,direct,2003-06-08,Germany
1111,social_media,1952-08-28,Australia
1112,social_media,1990-06-03,Germany
1113,paid_search,1981-12-03,France
1114,referral,1988-09-28,UK
1115,email,2002-07-24,Australia
1116,referral,1957-09-09,France
1117,social_media,1972-02-10,Australia
1118,organic,1957-05-12,Canada
1119,paid_search,1984-02-03,Australia
1120,email,1963-11-04,Australia
1121,referral,1978-05-30,Canada
1122,organic,1958-03-18,USA
1123,social_media,1989-11-25,Canada
1124,social_media,1959-03-04,UK
1125,organic,1966-10-24,Germany
1126,referral,1999-12-21,France
1127,direct,1986-08-10,USA
1128,organic,1958-01-15,Canada
1129,direct,1958-05-08,France
1130,direct,1979-02-08,Germany
1131,organic,1976-03-08,Germany
1132,referral,1957-08-07,Australia
1133,direct,1971-10-12,France
1134,direct,1965-03-19,Australia
1135,referral,1965-03-17,UK
1136,social_media,1977-01-06,Canada
1137,referral,1963-02-03,USA
1138,paid_search,1988-12-30,Canada
1139,referral,1976-11-22,Germany
1140,organic,1982-05-26,Canada
1141,paid_search,2014-09-04,Australia
1142,referral,2003-04-10,France
1143,paid_search,1991-01-29,USA
1144,paid_search,1977-05-02,USA
1145,referral,1979-10-22,France
1146,referral,1979-07-26,Germany
1147,social_media,1988-08-19,Australia
1148,direct,1962-03-19,Canada
1149,social_media,2004-02-13,Australia
1150,paid_search,1992-12-22,Canada
1151,paid_search,1985-09-23,Canada
1152,social_media,2015-12-06,Australia
1153,email,1994-01-19,France
1154,paid_search,1979-03-28,Germany
1155,social_media,1985-04-02,Canada
1156,organic,2000-08-02,UK
1157,direct,1998-12-14,UK
1158,email,1999-05-09,USA
1159,email,1991-06-01,Australia
1160,paid_search,1989-05-03,Canada
1161,email,1956-03-16,Germany
1162,email,1994-10-18,UK
1163,email,1977-03-03,UK
1164,social_media,2009-02-03,UK
1165,email,1987-12-18,Germany
1166,organic,1990-04-16,France
1167,referral,2002-03-27,Germany
1168,direct,1995-06-14,Australia
1169,referral,1998-10-10,USA
1170,social_media,2012-12-12,France
1171,direct,2007-04-03,USA
1172,organic,1972-04-09,Australia
1173,email,1981-11-06,UK
1174,email,2004-12-19,USA
1175,direct,2007-11-14,Australia
1176,email,1985-11-07,Canada
1177,referral,1959-07-04,USA
1178,organic,1973-03-19,UK
1179,direct,2017-01-01,France
1180,direct,2002-01-30,Australia
1181,direct,1969-10-30,Germany
1182,social_media,1985-02-02,Germany
1183,email,2002-10-21,Australia
1184,direct,1963-07-11,Canada
1185,organic,1993-04-24,USA
1186,social_media,1987-04-27,USA
1187,organic,2015-07-04,UK
1188,social_media,1977-12-25,Canada
1189,referral,1968-07-23,France
1190,referral,1981-04-01,Germany
1191,organic,1989-04-23,Australia
1192,email,1990-08-04,Canada
1193,organic,1976-12-09,USA
1194,email,1960-04-29,USA
1195,social_media,2008-02-18,USA
1196,email,1964-09-29,Australia
1197,paid_search,1996-04-17,UK
1198,direct,1964-05-14,Canada
1199,direct,1988-04-02,Germany
1200,paid_search,1986-05-04,Australia
1201,paid_search,1966-09-21,Australia
1202,email,1988-10-08,Germany
1203,organic,2016-02-26,France
1204,paid_search,1990-05-02,France
1205,referral,1984-11-19,USA
1206,email,1969-04-09,UK
1207,social_media,2017-06-30,Australia
1208,organic,2001-10-18,USA
1209,direct,1966-10-10,Canada
1210,social_media,1967-09-06,Germany
1211,organic,1973-07-15,Australia
1212,referral,1997-05-06,Australia
1213,social_media,2003-07-23,Germany
1214,direct,1985-03-20,France
1215,organic,1981-03-19,Canada
1216,referral,2005-05-21,UK
1217,email,2013-05-03,Canada
1218,direct,2002-12-12,USA
1219,email,1962-01-07,Canada
1220,organic,1971-05-28,Canada
1221,organic,1966-06-04,Canada
1222,email,1962-09-07,France
1223,referral,1987-07-10,France
1224,paid_search,2001-07-27,Germany
1225,referral,1966-08-31,Germany
1226,email,1998-03-18,Australia
1227,email,1965-07-17,France
1228,paid_search,1993-12-05,Canada
1229,paid_search,1966-10-14,Canada
1230,referral,2005-07-27,USA
1231,social_media,1950-11-11,Germany
1232,paid_search,1967-07-04,Germany
1233,direct,1995-05-07,Australia
1234,referral,1986-09-15,Australia
1235,referral,1987-04-16,Australia
1236,referral,1993-11-04,UK
1237,organic,2000-09-21,USA
1238,paid_search,1976-03-16,USA
1239,social_media,1970-03-04,France
1240,social_media,1965-02-02,Germany
1241,direct,2016-08-12,Germany
1242,direct,1995-10-30,USA
1243,direct,1960-03-31,Canada
1244,direct,1982-11-30,France
1245,organic,2018-03-08,Australia
1246,referral,1999-01-06,UK
1247,referral,1959-03-10,Australia
1248,email,2017-05-29,UK
1249,social_media,1952-11-22,Germany
1250,social_media,1981-04-10,USA
1251,referral,1960-07-13,UK
1252,paid_search,2016-03-05,France
1253,email,1981-06-16,Australia
1254,direct,2006-10-08,Germany
1255,paid_search,2005-04-12,UK
1256,paid_search,1968-07-26,USA
1257,direct,1981-06-22,France
1258,social_media,2003-07-19,France
1259,paid_search,1979-01-14,Australia
1260,social_media,1975-12-16,France
1261,social_media,1996-02-25,Australia
1262,organic,1962-03-01,Germany
1263,organic,1974-11-18,Australia
1264,paid_search,2012-12-05,UK
1265,paid_search,1963-02-14,Australia
1266,social_media,1972-03-17,Australia
1267,referral,1993-11-29,UK
1268,direct,2006-09-26,Canada
1269,email,1987-03-01,Germany
1270,referral,1956-10-10,Australia
1271,organic,1986-02-21,France
1272,email,1974-12-17,Australia
1273,social_media,1990-10-17,Germany
1274,social_media,2002-03-18,USA
1275,email,1958-05-11,Australia
1276,referral,2006-12-15,Australia
1277,email,1982-02-20,USA
1278,direct,1985-09-06,UK
1279,referral,1969-01-02,Germany
1280,social_media,1978-12-19,Canada
1281,social_media,1999-02-07,France
1282,paid_search,2000-10-16,Germany
1283,social_media,2011-03-27,USA
1284,organic,1958-12-07,Australia
1285,referral,1951-06-18,USA
1286,paid_search,1989-08-04,Germany
1287,organic,1988-05-19,UK
1288,email,1961-11-01,Australia
1289,social_media,1964-04-06,Canada
1290,organic,2008-09-22,Canada
1291,social_media,1957-05-24,Canada
1292,email,2008-03-20,UK
1293,organic,1985-07-23,Australia
1294,social_media,2015-02-18,Australia
1295,paid_search,1988-07-05,Australia
1296,organic,2013-02-17,USA
1297,organic,1969-02-23,Germany
1298,organic,1961-11-27,France
1299,paid_search,1996-08-08,Australia
1300,referral,1950-11-01,USA
1301,email,1980-10-28,USA
1302,referral,2012-04-07,UK
1303,referral,1956-05-09,UK
1304,referral,1958-01-06,Australia
1305,organic,1959-04-05,Canada
1306,social_media,1976-11-05,UK
1307,referral,2017-07-27,UK
1308,email,2010-10-01,UK
1309,organic,1997-08-05,France
1310,organic,2004-10-02,Australia
1311,paid_search,1989-06-26,Canada
1312,email,1969-02-11,Australia
1313,email,1963-08-01,Germany
1314,direct,2011-08-06,Germany
1315,paid_search,1957-10-11,USA
1316,paid_search,2017-07-04,USA
1317,direct,2015-06-29,Germany
1318,social_media,1988-07-10,Canada
1319,paid_search,1972-03-25,Canada
1320,email,1957-07-23,UK
1321,direct,2003-12-02,France
1322,email,2004-07-05,Canada
1323,email,1952-05-28,Australia
1324,social_media,1968-06-07,France
1325,direct,1995-09-18,UK
1326,email,1985-02-22,Canada
1327,email,1954-11-24,UK
1328,referral,1984-08-14,USA
1329,paid_search,1994-10-27,Australia
1330,direct,1956-05-15,France
1331,organic,1982-05-25,Canada
1332,paid_search,1984-09-14,France
1333,referral,1982-10-13,France
1334,email,1965-07-02,Germany
1335,organic,1951-07-01,France
1336,organic,1951-03-28,Canada
1337,paid_search,1953-07-29,USA
1338,referral,1995-06-14,Canada
1339,email,2013-12-07,France
1340,referral,1988-01-01,Australia
1341,referral,1957-05-24,Australia
1342,direct,1998-03-27,France
1343,paid_search,1974-11-23,USA
1344,social_media,1957-02-02,France
1345,paid_search,1963-12-10,France
1346,social_media,1985-01-20,France
1347,email,2008-04-19,Australia
1348,email,1955-12-07,Canada
1349,email,1989-04-01,Australia
1350,paid_search,1955-03-13,UK
1351,organic,1988-12-24,USA
1352,referral,2004-12-06,France
1353,organic,1977-09-30,Australia
1354,email,2009-01-14,Australia
1355,paid_search,1960-09-18,USA
1356,email,1962-04-24,Australia
1357,organic,1964-09-12,Germany
1358,social_media,1996-12-02,France
1359,email,1973-04-05,UK
1360,social_media,1961-05-22,Australia
1361,social_media,2015-10-03,USA
1362,organic,1980-01-21,Germany
1363,social_media,1996-12-30,USA
1364,social_media,2013-11-27,France
1365,email,1956-11-30,Germany
1366,referral,1995-10-29,Canada
1367,organic,1994-10-28,France
1368,paid_search,1982-12-27,UK
1369,social_media,1959-03-26,France
1370,email,2014-11-05,USA
1371,paid_search,2016-06-16,France
1372,organic,1953-12-14,USA
1373,paid_search,1954-02-15,Germany
1374,social_media,1984-05-11,UK
1375,paid_search,1953-03-04,France
1376,email,2016-06-13,Australia
1377,referral,1970-02-21,Canada
1378,paid_search,1987-05-06,Australia
1379,social_media,1974-05-03,USA
1380,direct,1983-06-13,USA
1381,direct,2010-05-29,USA
1382,paid_search,1970-01-09,France
1383,organic,1985-12-20,USA
1384,referral,1975-04-30,Canada
1385,social_media,1957-10-01,France
1386,referral,1950-09-19,Canada
1387,paid_search,1976-02-28,France
1388,social_media,2016-05-08,France
1389,paid_search,1991-08-15,Canada
1390,direct,1994-04-06,UK
1391,email,1999-01-13,UK
1392,paid_search,1950-07-28,Germany
1393,organic,1970-11-26,France
1394,social_media,2007-01-20,Australia
1395,organic,1980-01-21,USA
1396,email,1983-10-04,Australia
1397,email,1977-08-03,USA
1398,paid_search,1997-07-13,UK
1399,referral,1994-02-21,USA
1400,paid_search,2013-11-05,Canada
1401,organic,1953-12-09,UK
1402,direct,1987-01-22,Australia
1403,social_media,1991-02-17,Australia
1404,organic,2002-02-07,USA
1405,direct,1961-12-23,Australia
1406,referral,1956-09-18,France
1407,direct,1955-08-03,Germany
1408,email,1961-09-23,UK
1409,social_media,1973-06-01,Canada
1410,referral,2012-11-12,Australia
1411,social_media,1978-07-15,Germany
1412,social_media,1970-12-16,USA
1413,paid_search,1962-03-19,France
1414,organic,1963-12-11,USA
1415,paid_search,1990-05-02,Germany
1416,social_media,1986-06-21,USA
1417,direct,1982-02-22,UK
1418,referral,1977-08-29,Germany
1419,social_media,1960-10-04,USA
1420,paid_search,2011-07-20,Canada
1421,email,2012-07-09,France
1422,organic,1969-04-16,Canada
1423,paid_search,1958-03-08,Australia
1424,paid_search,1981-11-30,Germany
1425,direct,1954-05-24,Australia
1426,social_media,1973-05-05,UK
1427,organic,1986-04-13,Germany
1428,direct,2017-02-11,France
1429,paid_search,1958-07-01,Germany
1430,organic,1962-07-17,USA
1431,organic,1955-07-14,UK
1432,paid_search,1967-10-11,Germany
1433,social_media,2011-07-28,Australia
1434,email,1957-07-16,France
1435,direct,1973-03-22,USA
1436,organic,1955-10-14,UK
1437,email,1989-10-13,UK
1438,organic,1979-09-30,USA
1439,organic,1991-05-11,USA
1440,paid_search,2001-06-27,Germany
1441,email,1985-06-09,Germany
1442,organic,1984-05-03,Australia
1443,referral,1965-07-03,Canada
1444,paid_search,1966-10-16,Canada
1445,social_media,1990-01-05,UK
1446,organic,2005-02-04,France
1447,direct,1972-01-19,Australia
1448,social_media,1994-10-04,Germany
1449,direct,1992-12-22,USA
1450,organic,1975-02-06,Germany
1451,paid_search,1987-08-12,UK
1452,email,1997-03-04,UK
1453,email,1998-10-10,USA
1454,referral,2013-12-31,Canada
1455,referral,1998-11-07,Germany
1456,social_media,2000-09-30,France
1457,social_media,1984-11-04,Canada
1458,paid_search,1952-05-04,Canada
1459,direct,1969-08-25,USA
1460,social_media,1955-04-04,Germany
1461,direct,1982-01-25,France
1462,paid_search,1964-04-27,USA
1463,paid_search,2008-12-06,UK
1464,social_media,1997-11-17,Australia
1465,organic,1969-09-07,France
1466,referral,1981-10-31,UK
1467,paid_search,1971-03-23,France
1468,social_media,2016-03-21,Australia
1469,social_media,2003-01-27,USA
1470,email,2012-11-06,Canada
1471,direct,2000-07-25,UK
1472,direct,1966-11-21,Germany
1473,direct,1977-09-23,UK
1474,referral,1953-05-28,USA
1475,organic,1970-11-14,France
1476,paid_search,1951-10-16,France
1477,referral,1950-01-23,Canada
1478,direct,1968-01-28,UK
1479,social_media,2014-04-27,UK
1480,social_media,1955-05-06,USA
1481,paid_search,2002-08-18,Australia
1482,paid_search,1959-12-14,France
1483,social_media,1956-07-04,Canada
1484,email,2009-05-27,Germany
1485,direct,1959-01-24,Canada
1486,social_media,1978-12-11,UK
1487,paid_search,2015-09-14,Germany
1488,email,1993-09-16,Australia
1489,social_media,1965-08-18,Australia
1490,direct,2012-03-22,France
1491,social_media,1970-01-11,Australia
1492,direct,1965-09-24,Germany
1493,social_media,2015-11-07,Australia
1494,social_media,1961-06-04,UK
1495,email,1950-02-28,Australia
1496,direct,1985-02-17,France
1497,organic,1966-05-03,France
1498,social_media,2004-11-06,UK
1499,email,2000-09-26,USA
1500,referral,1962-08-14,Canada
1501,email,1956-12-24,UK
1502,social_media,1978-08-31,UK
1503,email,1957-12-17,Australia
1504,email,2007-05-04,Australia
1505,social_media,1990-01-26,USA
1506,social_media,1968-10-23,UK
1507,email,1956-01-31,Canada
1508,social_media,1959-09-11,Australia
1509,organic,1954-04-27,Germany
1510,referral,2015-09-22,Germany
1511,paid_search,1987-02-22,Germany
1512,referral,1981-07-06,France
1513,referral,1959-02-06,Germany
1514,direct,2008-05-26,Australia
1515,paid_search,1964-08-04,Germany
1516,organic,1952-12-30,Canada
1517,organic,1978-08-05,Canada
1518,organic,1956-08-28,Canada
1519,paid_search,1983-09-08,UK
1520,email,1956-09-23,France
1521,organic,1980-04-26,France
1522,direct,1993-04-23,Australia
1523,organic,1988-09-11,Australia
1524,paid_search,2004-06-26,Germany
1525,paid_search,1954-10-21,USA
1526,social_media,1968-06-10,UK
1527,referral,2012-07-19,France
1528,email,2015-06-28,France
1529,social_media,2009-04-07,Canada
1530,social_media,1971-04-24,USA
1531,organic,1985-04-01,France
1532,direct,1994-01-17,UK
1533,organic,1982-05-16,USA
1534,referral,1957-11-11,Canada
1535,email,2006-01-29,France
1536,referral,1967-11-30,USA
1537,organic,1968-07-26,UK
1538,email,1976-03-07,USA
1539,referral,1960-05-12,Canada
1540,referral,1992-04-01,Germany
1541,email,1973-10-10,USA
1542,email,1998-10-25,Germany
1543,paid_search,1983-04-15,Germany
1544,social_media,1966-09-27,Germany
1545,organic,1973-08-15,Germany
1546,referral,1973-08-19,UK
1547,social_media,2000-08-15,USA
1548,paid_search,2017-06-27,Australia
1549,email,1958-09-04,USA
1550,email,1980-11-04,France
1551,referral,2017-11-12,France
1552,paid_search,1999-09-01,USA
1553,referral,1996-11-18,Germany
1554,direct,2011-08-22,Germany
1555,direct,1971-02-21,Germany
1556,social_media,1957-01-31,Germany
1557,email,1953-02-11,France
1558,direct,1996-05-14,France
1559,email,2005-08-25,UK
1560,organic,2017-12-06,Germany
1561,paid_search,1964-12-30,UK
1562,paid_search,1961-04-27,USA
1563,referral,1957-01-11,Australia
1564,referral,1968-02-12,Australia
1565,paid_search,2003-05-21,Canada
1566,social_media,2015-03-26,USA
1567,organic,1984-10-26,France
1568,referral,1999-07-12,Canada
1569,social_media,1996-08-16,Germany
1570,organic,2012-11-02,France
1571,direct,1996-11-18,Germany
1572,organic,1987-03-08,UK
1573,paid_search,2000-10-31,France
1574,direct,2018-01-14,USA
1575,organic,2000-06-25,USA
1576,social_media,1998-01-20,Canada
1577,referral,1973-09-12,Germany
1578,email,1993-07-25,France
1579,direct,1992-06-09,USA
1580,paid_search,1974-09-16,Germany
1581,paid_search,2005-06-19,France
1582,email,2012-03-25,Germany
1583,organic,1985-07-05,Canada
1584,email,1971-04-25,USA
1585,email,1992-08-19,Canada
1586,social_media,1951-10-25,Canada
1587,social_media,1977-11-24,Canada
1588,referral,2012-06-16,Australia
1589,organic,1970-06-14,UK
1590,social_media,2016-09-21,Germany
1591,social_media,1974-03-04,Australia
1592,referral,2004-04-10,Australia
1593,organic,1966-11-11,Germany
1594,paid_search,1986-07-13,Australia
1595,referral,2018-02-20,France
1596,social_media,1955-01-16,France
1597,paid_search,1955-11-21,Canada
1598,email,1995-06-20,Germany
1599,paid_search,1997-01-13,France
1600,organic,1965-08-03,UK
1601,paid_search,1955-03-04,UK
1602,organic,1990-12-13,USA
1603,social_media,2013-03-20,UK
1604,social_media,1983-01-18,Germany
1605,direct,1985-08-12,Australia
1606,organic,2011-02-10,USA
1607,paid_search,1983-06-01,Germany
1608,direct,1990-01-08,UK
1609,referral,2002-08-26,France
1610,social_media,1980-11-19,UK
1611,social_media,2017-03-11,Australia
1612,organic,1975-07-30,USA
1613,referral,1954-06-15,UK
1614,direct,1969-03-24,UK
1615,email,1970-03-13,Australia
1616,paid_search,1974-02-21,Australia
1617,referral,1996-01-19,USA
1618,email,1950-10-19,Germany
1619,paid_search,2008-01-30,UK
1620,direct,1950-10-05,UK
1621,social_media,2004-07-30,Canada
1622,email,2013-08-22,Australia
1623,social_media,1988-01-09,Germany
1624,social_media,1991-03-07,Canada
1625,paid_search,1991-11-14,Canada
1626,email,1996-09-16,France
1627,referral,2002-06-09,USA
1628,organic,1995-11-22,Australia
1629,social_media,2000-05-15,Australia
1630,direct,2004-08-22,Canada
1631,social_media,2011-05-27,USA
1632,referral,1955-09-23,Canada
1633,social_media,2007-06-22,Canada
1634,social_media,1973-06-06,Australia
1635,email,2008-06-12,Canada
1636,paid_search,1963-06-14,France
1637,paid_search,1955-02-04,France
1638,referral,2009-04-05,Canada
1639,email,1962-07-22,Australia
1640,organic,2008-10-19,Germany
1641,social_media,1973-04-10,Germany
1642,referral,1984-10-31,Australia
1643,organic,2002-04-22,Australia
1644,direct,1967-01-15,Canada
1645,email,2013-12-31,UK
1646,email,1997-12-18,Australia
1647,referral,2010-04-11,Canada
1648,direct,1976-12-06,UK
1649,email,2000-01-31,UK
1650,social_media,1958-10-04,Germany
1651,paid_search,2016-06-21,Canada
1652,email,2000-02-26,UK
1653,email,1980-02-11,Australia
1654,organic,1969-12-09,Canada
1655,paid_search,2016-10-07,Canada
1656,referral,1979-09-22,Canada
1657,social_media,2002-07-14,Canada
1658,referral,1960-07-26,Germany
1659,organic,2006-11-30,France
1660,direct,2005-09-06,USA
1661,referral,1967-06-15,France
1662,organic,2011-01-26,Germany
1663,direct,1976-10-07,Germany
1664,organic,1963-07-12,UK
1665,paid_search,1980-09-28,Germany
1666,direct,1991-01-19,UK
1667,social_media,2014-03-17,UK
1668,organic,1993-09-29,Canada
1669,email,1965-11-12,Canada
1670,email,1955-03-16,USA
1671,referral,1974-07-16,UK
1672,paid_search,2001-09-13,UK
1673,referral,1957-11-24,UK
1674,direct,1988-11-28,Australia
1675,referral,1986-03-11,Germany
1676,referral,1984-05-22,USA
1677,organic,1997-11-20,UK
1678,email,1983-06-22,USA
1679,social_media,2017-11-25,France
1680,paid_search,1951-08-11,Australia
1681,organic,2006-03-23,Australia
1682,paid_search,1970-04-20,Australia
1683,social_media,1977-12-31,UK
1684,organic,1984-05-30,France
1685,direct,1977-06-18,UK
1686,organic,1954-02-07,Canada
1687,social_media,1990-11-26,Australia
1688,direct,2003-07-03,France
1689,social_media,1988-11-27,Australia
1690,paid_search,1980-09-30,Germany
1691,social_media,2017-04-18,UK
1692,paid_search,1986-03-11,USA
1693,paid_search,1970-02-15,Australia
1694,paid_search,1968-12-12,Australia
1695,organic,2002-11-27,France
1696,paid_search,1961-01-18,Canada
1697,email,2008-05-12,USA
1698,referral,2007-06-13,Canada
1699,direct,2005-11-26,USA
1700,direct,1954-04-21,Australia
1701,organic,2008-08-20,USA
1702,organic,2011-11-18,USA
1703,referral,1989-11-11,Germany
1704,organic,1999-02-06,Canada
1705,referral,2012-12-19,UK
1706,paid_search,2012-05-15,Australia
1707,email,1950-11-01,Canada
1708,referral,2009-05-12,USA
1709,email,1996-09-05,Canada
1710,direct,2004-05-02,Australia
1711,paid_search,1987-07-30,USA
1712,direct,2014-06-26,France
1713,organic,1975-05-13,USA
1714,organic,1994-08-27,UK
1715,direct,1967-12-03,Canada
1716,direct,1968-02-04,Canada
1717,email,1986-10-05,Canada
1718,paid_search,1953-07-15,France
1719,referral,1968-08-19,Australia
1720,referral,1979-08-30,UK
1721,organic,1951-02-22,Australia
1722,organic,1959-11-28,France
1723,email,1994-04-30,UK
1724,organic,1995-11-28,USA
1725,email,2014-12-01,USA
1726,social_media,2007-10-22,UK
1727,referral,1976-07-23,Canada
1728,referral,1954-06-30,USA
1729,paid_search,1953-07-16,Canada
1730,social_media,2010-09-19,Canada
1731,referral,2016-04-04,USA
1732,organic,2018-01-08,USA
1733,organic,1962-06-01,Australia
1734,email,1965-04-19,Canada
